1,山东 济南
5g,辽宁 盘锦
5h,辽宁 朝阳
5i,辽宁 锦州
5j,辽宁 铁岭
5k,陕西 渭南
5l,陕西 咸阳
5m,陕西 汉中
5n,陕西 宝鸡
5o,陕西 铜川
5p,陕西 延安
5q,云南 红河哈尼族彝族自治州
5r,云南 楚雄彝族自治州
5s,云南 曲靖
5t,云南 玉溪
5u,云南 昆明
5v,吉林 四平
6a,辽宁 鞍山
6b,内蒙古 呼和浩特
6c,内蒙古 乌兰察布
6d,内蒙古 鄂尔多斯
6e,内蒙古 巴彦淖尔
6f,内蒙古 乌海
6g,新疆 昌吉回族自治州
6h,黑龙江 齐齐哈尔
6i,黑龙江 牡丹江
6j,黑龙江 大庆
6k,黑龙江 绥化
6l,黑龙江 黑河
6m,黑龙江 鸡西
6n,黑龙江 七台河
6o,黑龙江 鹤岗
6p,黑龙江 双鸭山
6q,安徽 马鞍山
6r,安徽 宣城
6s,安徽 安庆
6t,安徽 滁州
6u,安徽 池州
6v,安徽 黄山
7a,广西 贺州
7b,内蒙古 呼伦贝尔
7c,内蒙古 通辽
7d,内蒙古 赤峰
7e,贵州 铜仁
7f,贵州 黔东南
7g,贵州 黔南
7h,贵州 六盘水
7i,贵州 黔西南
7j,贵州 毕节
7k,河南 平顶山
7l,河北 张家口
7m,河北 承德
7n,安徽 亳州
7o,江西 赣州
7p,陕西 榆林
7q,甘肃 白银
7r,甘肃 酒泉
7s,甘肃 定西
7t,甘肃 临夏回族自治州
7u,新疆 石河子
7v,新疆 巴音郭楞
8a,新疆 哈密地区
8b,新疆 阿克苏地区
8c,新疆 伊犁
8d,新疆 博尔塔拉
8e,新疆 伊犁哈萨克自治州
8f,新疆 克拉玛依
8g,湖北 宜昌
8h,湖北 恩施土家族苗族自治州
8i,云南 文山壮族苗族自治州
8j,云南 普洱
8k,云南 保山
8l,山西 忻州
8m,山西 朔州
8n,山西 吕梁
8o,河南 信阳
8p,河南 驻马店
8q,河南 周口
8r,甘肃 庆阳
8s,甘肃 天水
8t,甘肃 平凉
8u,湖北 黄石
8v,湖北 鄂州
9a,云南 德宏傣族景颇族自治州
9b,云南 西双版纳傣族自治州
9c,湖北 咸宁
9d,湖南 张家界
9e,湖南 永州
9f,山西 阳泉
9g,湖南 湘西
9h,河南 商丘
9i,河南 南阳
9j,四川 资阳
9k,陕西 商洛
9l,云南 迪庆藏族自治州
9m,云南 昭通
9n,陕西 安康
9o,黑龙江 伊春
9p,黑龙江 大兴安岭地区
9q,新疆 克孜勒苏柯尔克孜
9r,新疆 和田地区
9s,新疆 塔城地区
9t,新疆 阿勒泰地区
9u,四川 甘孜藏族自治州
9v,四川 阿坝藏族羌族自治州
a0,四川 巴中
a1,四川 广安
a2,四川 雅安
a3,新疆 克孜勒苏柯尔克孜自治州
a4,内蒙古 兴安
a5,青海 海西蒙古族藏族自治州
a6,内蒙古 阿拉善
a7,湖北 恩施
a8,甘肃 甘南藏族自治州
a9,甘肃 陇南
aa,青海 玉树藏族自治州
ab,青海 果洛藏族自治州
ac,青海 黄南藏族自治州
ad,甘肃 金昌
ae,香港 香港
af,宁夏 中卫
ag,广西 来宾
ah,西藏 拉萨
ai,西藏 日喀则地区
aj,西藏 山南地区
ak,西藏 林芝地区
al,西藏 昌都
am,西藏 那曲地区
an,西藏 阿里地区
ao,内蒙古 阿拉善盟
ap,湖北 仙桃
aq,湖南 吉首
ar,四川 凉山彝族自治州
as,新疆 哈密
at,湖北 江汉
au,内蒙古 海拉尔
av,内蒙古 临河
b0,青海 海北
b1,青海 海南
b2,内蒙古 集宁
b3,新疆 博尔塔拉蒙古自治州
b4,云南 西双版纳
b5,四川 阿坝
b6,甘肃 临夏
b7,内蒙古 锡林郭勒盟
b8,吉林 延边朝鲜族自治州
b9,新疆 巴音郭楞蒙古自治州
ba,湖南 湘西土家族苗族自治州
bb,贵州 都匀
bc,新疆 和田
bd,新疆 阿克苏
be,青海 黄南
bf,贵州 黔南布依族苗族自治州
bg,贵州 黔东南苗族侗族自治州
bh,贵州 黔西南布依族苗族自治州
bi,广西 崇左
bj,云南 迪庆
bk,云南 红河
bl,云南 怒江
bm,青海 果洛
bn,云南 德宏
bo,河南 济源
bp,湖北 潜江
bq,四川 甘孜
br,湖北 神农架林区
bs,黑龙江 大兴安岭
